age,sex,marker,mean,median,std,hdi_lower,hdi_upper
50.1,F,alp,1.0757557979180044,1.0771094739147,0.024326479643897548,1.0303907318737313,1.1208098339210988
50.6,F,alp,1.0862340591828543,1.0872023043265622,0.024823513206313336,1.0357997344002159,1.1296080221964075
51.1,F,alp,1.0972543965891097,1.097794021639358,0.025160935584006918,1.0527173200403193,1.1488227277235536
51.6,F,alp,1.1086175723033802,1.109339716573761,0.025451592132539145,1.0537808234282198,1.1511234935672345
52.1,F,alp,1.1200723796343124,1.1203132848964203,0.02585057082458168,1.0660668372425632,1.1646307770050908
52.6,F,alp,1.1313205484941908,1.1317021568797188,0.026520619927941323,1.0772853711247496,1.1764484537281112
53.1,F,alp,1.142026920416861,1.1421035221426874,0.027574646070687468,1.089938718118867,1.1943902909367101
53.6,F,alp,1.1518350849171954,1.1521879855692378,0.02902026891362665,1.0971555665722064,1.206559154290228
54.1,F,alp,1.1603878876590779,1.1606535090690686,0.030741867944541246,1.0977410444922808,1.213632989034656
54.6,F,alp,1.1673513178392998,1.166617964423074,0.032533257685203314,1.0999212924218276,1.2213727380966573
